DATE,USAUCSFRCONDOSMSAMID_NBD20200201,CSUSHPINSA_NBD20200201
1990-01-01,.,35.89245
1990-02-01,.,35.92059
1990-03-01,.,36.01580
1990-04-01,.,36.13211
1990-05-01,.,36.25312
1990-06-01,.,36.35067
1990-07-01,.,36.37694
1990-08-01,.,36.33895
1990-09-01,.,36.22123
1990-10-01,.,36.07302
1990-11-01,.,35.82397
1990-12-01,.,35.63214
1991-01-01,.,35.42624
1991-02-01,.,35.29257
1991-03-01,.,35.24004
1991-04-01,.,35.32400
1991-05-01,.,35.53599
1991-06-01,.,35.76300
1991-07-01,.,35.88729
1991-08-01,.,35.92340
1991-09-01,.,35.91449
1991-10-01,.,35.78129
1991-11-01,.,35.65934
1991-12-01,.,35.57211
1992-01-01,.,35.50410
1992-02-01,.,35.48299
1992-03-01,.,35.55757
1992-04-01,.,35.68233
1992-05-01,.,35.83147
1992-06-01,.,35.92715
1992-07-01,.,35.97828
1992-08-01,.,35.98812
1992-09-01,.,35.93935
1992-10-01,.,35.92528
1992-11-01,.,35.91636
1992-12-01,.,35.86290
1993-01-01,.,35.83053
1993-02-01,.,35.79864
1993-03-01,.,35.82444
1993-04-01,.,35.95482
1993-05-01,.,36.12789
1993-06-01,.,36.35583
1993-07-01,.,36.52890
1993-08-01,.,36.64428
1993-09-01,.,36.67570
1993-10-01,.,36.66351
1993-11-01,.,36.66257
1993-12-01,.,36.63631
1994-01-01,.,36.67617
1994-02-01,.,36.67899
1994-03-01,.,36.74652
1994-04-01,.,36.91162
1994-05-01,.,37.14941
1994-06-01,.,37.38017
1994-07-01,.,37.54995
1994-08-01,.,37.66908
1994-09-01,.,37.68034
1994-10-01,.,37.66392
1994-11-01,.,37.60060
1994-12-01,.,37.55792
1995-01-01,.,37.53353
1995-02-01,.,37.51712
1995-03-01,.,37.55745
1995-04-01,.,37.69394
1995-05-01,.,37.84496
1995-06-01,.,38.02178
1995-07-01,.,38.18312
1995-08-01,.,38.29709
1995-09-01,.,38.33649
1995-10-01,.,38.33086
1995-11-01,.,38.28584
1995-12-01,.,38.23049
1996-01-01,.,38.19016
1996-02-01,.,38.17749
1996-03-01,.,38.30225
1996-04-01,.,38.51753
1996-05-01,.,38.74125
1996-06-01,.,38.95090
1996-07-01,.,39.12444
1996-08-01,.,39.23044
1996-09-01,.,39.25717
1996-10-01,.,39.22293
1996-11-01,.,39.18869
1996-12-01,.,39.15774
1997-01-01,.,39.17697
1997-02-01,.,39.20792
1997-03-01,.,39.35566
1997-04-01,.,39.54749
1997-05-01,.,39.80264
1997-06-01,.,40.05309
1997-07-01,.,40.26040
1997-08-01,.,40.40579
1997-09-01,.,40.48084
1997-10-01,.,40.52633
1997-11-01,.,40.63139
1997-12-01,.,40.73270
1998-01-01,.,40.88044
1998-02-01,.,40.97893
1998-03-01,.,41.21532
1998-04-01,.,41.53472
1998-05-01,.,41.91743
1998-06-01,.,42.30250
1998-07-01,.,42.61439
1998-08-01,.,42.87095
1998-09-01,.,43.03276
1998-10-01,.,43.14860
1998-11-01,.,43.24147
1998-12-01,.,43.35732
1999-01-01,.,43.48395
1999-02-01,.,43.60918
1999-03-01,.,43.90466
1999-04-01,.,44.29160
1999-05-01,.,44.72544
1999-06-01,.,45.19586
1999-07-01,.,45.58468
1999-08-01,.,45.91533
1999-09-01,.,46.15078
1999-10-01,.,46.35339
1999-11-01,.,46.50207
1999-12-01,.,46.68687
2000-01-01,48.97227,46.90168
2000-02-01,49.05843,47.16948
2000-03-01,49.16527,47.58925
2000-04-01,49.39444,48.09345
2000-05-01,49.65819,48.63798
2000-06-01,49.94096,49.17922
2000-07-01,50.24047,49.58539
2000-08-01,50.56376,49.96060
2000-09-01,50.90004,50.24858
2000-10-01,51.23761,50.52671
2000-11-01,51.57355,50.79076
2000-12-01,51.90995,51.02527
2001-01-01,52.21875,51.22366
2001-02-01,52.49222,51.42440
2001-03-01,52.75599,51.77710
2001-04-01,53.04118,52.17718
2001-05-01,53.34895,52.62509
2001-06-01,53.66471,53.12693
2001-07-01,53.98961,53.57438
2001-08-01,54.32904,53.93177
2001-09-01,54.67150,54.15549
2001-10-01,55.01249,54.25633
2001-11-01,55.33031,54.32996
2001-12-01,55.62827,54.43174
2002-01-01,55.89179,54.61090
2002-02-01,56.14384,54.83603
2002-03-01,56.40079,55.31068
2002-04-01,56.68035,55.91102
2002-05-01,56.98912,56.65160
2002-06-01,57.32358,57.37670
2002-07-01,57.69026,58.01174
2002-08-01,58.08174,58.50093
2002-09-01,58.47843,58.85926
2002-10-01,58.87452,59.16084
2002-11-01,59.25177,59.39769
2002-12-01,59.61903,59.63595
2003-01-01,59.95139,59.87093
2003-02-01,60.26940,60.18704
2003-03-01,60.58725,60.64809
2003-04-01,60.93328,61.20153
2003-05-01,61.31400,61.83517
2003-06-01,61.70897,62.48523
2003-07-01,62.12461,63.15170
2003-08-01,62.56606,63.77033
2003-09-01,63.03318,64.29141
2003-10-01,63.50456,64.71352
2003-11-01,63.94289,65.08405
2003-12-01,64.35506,65.48834
2004-01-01,64.74859,65.99347
2004-02-01,65.16900,66.61351
2004-03-01,65.63282,67.57593
2004-04-01,66.15134,68.56087
2004-05-01,66.73521,69.57207
2004-06-01,67.37107,70.59640
2004-07-01,68.05626,71.44954
2004-08-01,68.75132,72.14228
2004-09-01,69.43757,72.74919
2004-10-01,70.09520,73.30732
2004-11-01,70.71243,73.86920
2004-12-01,71.32052,74.41983
2005-01-01,71.90890,75.10412
2005-02-01,72.50920,75.94554
2005-03-01,73.12845,77.18937
2005-04-01,73.82606,78.32627
2005-05-01,74.56713,79.51991
2005-06-01,75.34333,80.67885
2005-07-01,76.12531,81.65535
2005-08-01,76.91628,82.51130
2005-09-01,77.69414,83.30300
2005-10-01,78.43087,83.83815
2005-11-01,79.10343,84.27059
2005-12-01,79.71113,84.47367
2006-01-01,80.23152,84.81183
2006-02-01,80.71481,85.12701
2006-03-01,81.20159,85.71281
2006-04-01,81.72461,86.13446
2006-05-01,82.24084,86.47731
2006-06-01,82.69615,86.55563
2006-07-01,83.05287,86.58424
2006-08-01,83.32732,86.48903
2006-09-01,83.50703,86.39195
2006-10-01,83.63393,86.32441
2006-11-01,83.70044,86.12648
2006-12-01,83.74057,85.93794
2007-01-01,83.75541,85.69827
2007-02-01,83.77120,85.58196
2007-03-01,83.78260,85.45204
2007-04-01,83.79420,85.42296
2007-05-01,83.75722,85.30758
2007-06-01,83.65099,85.14577
2007-07-01,83.45365,84.88922
2007-08-01,83.22057,84.53323
2007-09-01,82.94219,84.01122
2007-10-01,82.64318,83.26454
2007-11-01,82.28423,82.15391
2007-12-01,81.90548,81.29843
2008-01-01,81.47093,80.23798
2008-02-01,80.99227,79.35294
2008-03-01,80.45411,78.74932
2008-04-01,79.87317,78.47729
2008-05-01,79.26900,78.33565
2008-06-01,78.63354,78.10911
2008-07-01,77.95731,77.72264
2008-08-01,77.20740,77.04960
2008-09-01,76.44861,75.93991
2008-10-01,75.70797,74.65058
2008-11-01,74.98321,73.20038
2008-12-01,74.26492,71.54616
2009-01-01,73.56415,70.05328
2009-02-01,72.96663,69.23532
2009-03-01,72.41863,68.71799
2009-04-01,71.90219,68.91873
2009-05-01,71.38001,69.49421
2009-06-01,70.88813,70.25730
2009-07-01,70.44265,70.70381
2009-08-01,70.03057,70.66629
2009-09-01,69.65196,70.17851
2009-10-01,69.34262,69.68932
2009-11-01,69.16801,69.38681
2009-12-01,69.08973,68.78881
2010-01-01,69.06423,68.00884
2010-02-01,69.03631,67.09472
2010-03-01,69.03491,67.34893
2010-04-01,69.07641,68.19597
2010-05-01,69.10042,68.96329
2010-06-01,69.04343,69.27518
2010-07-01,68.82775,69.20952
2010-08-01,68.50912,68.67672
2010-09-01,68.11412,67.82311
2010-10-01,67.70579,67.12943
2010-11-01,67.29126,66.51502
2010-12-01,66.90548,65.95642
2011-01-01,66.54820,65.20974
2011-02-01,66.21724,64.59768
2011-03-01,65.90208,64.62300
2011-04-01,65.57244,65.26696
2011-05-01,65.22517,65.98644
2011-06-01,64.88493,66.57411
2011-07-01,64.59804,66.76031
2011-08-01,64.35699,66.49907
2011-09-01,64.15014,65.74020
2011-10-01,63.94665,64.91520
2011-11-01,63.77364,64.09677
